imdb_id,review title,review_rating,review
tt0369610,"Spielberg Magic, This Is Not. Still, a Visit to Jurassic World Is Worth the Price of Admission.",7,"You may have heard some critics champion Jurassic World as ""The best Jurassic Park sequel"", some fans declare that it ""brought them back to their childhood"", and others who may have made the absurd claim, ""It's better than the original"". Don't believe the hype. Jurassic World is nowhere close to the best Jurassic Park sequel (Spielberg's own, The Lost World: Jurassic Park, will always have that title). It is not going to bring you back to your childhood, and it doesn't hold a candle to what Steven Spielberg and crew accomplished with the original Jurassic Park. That being said, in a time of dark, self-serious, and pretentious blockbusters such as last year's Dawn of the Planet of the Apes or Christopher Nolan's Dark Knight films, Jurassic World is a refreshing antidote. Light, wholesome, and heavy on adventure, JW harkens back to the big Hollywood ""event"" blockbusters of the 80s and 90s. Let's just not pretend this is anything groundbreaking. The fourth Jurassic Park movie remembers to have fun with its premise, but Spielberg's magic touch is still sorely missed.Jurassic World is the latest film in the Jurassic Park franchise in name only. Call it a sequel, reboot, or re-quel, the fact remains, this is not the same world created by author Michael Crichton and made real by Spielberg and company in 1993. All the major characters from the first three films are gone. Alan Grant, Ellie Satler, Ian Malcolm, and the rest of the appealing and memorable characters of the earlier movies are replaced with broad movie archetypes and superfluous supporting characters. With respect to our new kid characters and Vincent D'Onofrio's bone-headed military grunt, the only two characters worth noting in Jurassic World are Owen Grady, a rugged dino-expert played by bona fide movie star Chris Pratt, and Claire Dearing, an uptight scientist played by Bryce Dallas-Howard. Both are really likable in doses, and the script doesn't subject us to too much of their dopey bantering. While Owen and Claire are cliched, and ultimately uninteresting, as characters, the charm and sheer star power of Pratt and Dallas-Howard are quite enough to bolster JW's brand of disposable summer adventuring.There's a neat little hook to the story of Jurassic World. After a re-branding of sorts, John Hammond's dream is finally realized and Jurassic Park is opened and fully operating. However, when the public begins to lose interest in seeing the same old dinosaurs, the scientists of Jurassic World are prompted to create an all-new hybrid dinosaur called the Indominus Rex. Well, you guessed it, that dinosaur escapes. Okay, so that's a clever solution to the classic Jurassic Park sequel dilemma, ""How does this stuff keep happening?"", but that plot line takes all of twenty minutes to peter into a chase picture, and a simple one at that. The few subplots are banal. Be it, two brothers who come to Jurassic World to spend time with their aunt, or a ridiculous plan to weaponize velociraptors (The latter of those subplots is one of the most embarrassingly stupid ideas I've seen in a movie in years), Jurassic World doesn't have much to get invested in besides big scary monsters running after people.There is one aspect of the film that I love, and that is the design of the Jurassic World Resort. The care that went into perfecting the look of the theme park is a great deal higher than the care that went into the story or the filmmaking. Jurassic World is a living, breathing place, and it is filled with all kinds of minor details that help sell the illusion. The triceratops petting zoo, the hamster ball ride, the souvenir shops, and scores of other theme park related details are touches that I was grateful made it into the film. There are more than a few nice moments where you get to enjoy the park as it was ""intended"". The immersion lasts throughout, even as the prehistoric psycho-killer, and all the destruction that it brings, takes center stage. Once the Indominus Rex gets out, and all Hell breaks loose, director Colin Trevorrow's filmmaking starts to show its deficiencies. Jurassic World is an impressive technical feat. The action is staged well, and the special effects and production designs are incredibly polished. It all looks like a million bucks (or 150 million to be exact), and it's all very fun, but when it comes to the meat of the movie, it's foolish to think that Jurassic World is anything more than Transformers with dinosaurs. In Jurassic Park and The Lost World, Steven Spielberg infused his action scenes with tension and suspense. There was a certain kind of visual poetry to the T-Rex attack in the first movie or the raptors in the grass scene from The Lost World. They were exhilarating because of their selective restraint. Without showing everything, Spielberg made scenes that were subtle and scary, and that exploded to life at just the right moments. Jurassic World's action scenes are big, loud, and entertaining, but it's all chaos, no technique. Trevorrow throws the kitchen sink into every shot. The Indominus Rex chomps up dozens of machine gun toting mercenaries, pterodactyls dart all over the screen pecking and biting everything in sight, and big, lumbering CGI beasts fight each other and destroy every last peanut brittle building around them. Sound familiar? It's the kind of Call of Duty-esque sensory bombardment that can be loads of fun to watch while you're there but doesn't leave the lasting impact of truly great action.So it is with Jurassic World. The movie is big, bright, and fun, with lots of action and good special effects. It pleases crowds. But as with most big budget crowd pleasers, it comes with dull characters, brain dead plotting and booming CGI overload. Jurassic World left me with the exact same feeling I got after seeing Jurassic Park 3. Both movies are serviceable summer romps, full of dino-action and great visual effects, but there is simply a noticeable dip in the quality of the production. Jurassic World successfully mines from the franchise name a good B-caliber FX spectacular. For dumb summer fun, it works. But there was a time when Jurassic Park aspired to more than dumb summer fun. Steven Spielberg's first two movies had class. They grappled with ideas, they were intelligent, they showcased real filmmaking, and they were genuinely thrilling. Jurassic World is colorful and entertaining, but let's be clear, when it's all said and done, nothing beats Spielberg. 74/100"
tt0369610,"Not a patch on the original Jurassic Park, and is an uneven film, but by far the best of the sequels",7,"The original Jurassic Park still is a personal favourite, it is an enormously fun, thrilling (with some nail-biting moments) and brilliantly made film, with one of John Williams' most memorable main themes and scene-stealing dinosaurs. The Lost World has its admirers, but for me it was a major step-down and one of Spielberg's weakest films, and Jurassic Park 3 was even more disappointing.Jurassic World is not a patch on the first Jurassic Park and I didn't quite find it the return to form that it has been touted as, but for all its faults and uneven parts it is a massive improvements on the previous two sequels and is an entertaining film in its own right that does more right than it does wrong.First things off, Jurassic World is an incredibly well-made film, it's beautifully shot with scenery that's both colourful and atmospheric and the dinosaurs look wonderful. The dinosaurs also steal the film, not just their designs but also that they're lots of fun and are scary, their scenes are great to watch and there could have been even more than there were. This is especially true with the Indominus Rex, who is chillingly bloodthirsty, when she is stalking her prey it's enough to be glued to one's seat and then jump out of it. Michael Giacchino's music score is positively stirring, and even includes themes from Williams' score for Jurassic Park, which was just a lovely homage and fits within the rest of the scoring beautifully.The film's homages are most enjoyable and give the film a nostalgic quality, some of it is savvy and funny and while not as much as the original there's still a good of thrills and scares to be had. The latter half is often very exciting, the film is efficiently directed, doing nicely in maintaining the tension, and the acting is good (though one does wish that the characters were written better). Chris Pratt has a likable and warm presence, as well as a nice wit, and Bryce Dallas Howard is similarly good even with the most problematically written character. Vincent D'Onofrio makes a real effort making his somewhat one-note and underused character more interesting than he deserves to be and does bring some intensity.However, Jurassic World does contain some large problems. Not all the acting works, Judy Greer for my tastes was annoying in places and the children's acting was often too forced and their back story goes nowhere. The script and story are uneven, with the script it has its moments but it can be a bit muddled, as a result of trying to do too much at times, some of the dialogue is very weak and can induce cringes and some of the reversals are really out of place. It also could have done a much better developing the characters, because they felt very underdeveloped and clichéd, especially Claire, and any character arcs come off clumsily or aren't explored enough, particularly for the children. Owen and Claire's romance can slow the film down and does contain some forced dialogue. The story is at least never really dull, and excites more than it limps, but at the same time it does lack the wonder, consistent suspense, smartness and originality that Jurassic Park had. It does feel like a too predictable rehash at times, does feel muddled tonally, the exposition in the first half hour does go on for far too long and doesn't really say anything interesting and the ending is too silly and anti-climactic for my tastes.All in all, uneven and not on the same level as the original Jurassic Park, but a very entertaining well made film and by far the best of the sequels. 6.5/10 Bethany Cox"
tt0369610,Its a Jurassic World after all.,7,"The 4th film in the Jurassic Park series and the second sequel that Steven Spielberg did not direct starts off well enough with enough call backs to the first film of the series but quickly turns into a monster movie with a run away super killer dinosaur that was spliced by the DNA of other prehistoric creatures for the sake of selling extra tickets. If my description of the plot Is pretty simplistic,it's because the story is that simple. So forget the dangers of science morality tales that both ""Jurassic Park"" and ""The Lost World"" gave to it's stories and just accept that the series has become a standard creature feature that just swaps out it's main monster for every new installment. The last film in the series ""Jurassic Park 3"" pretty much threw away the whole plot lines of the first two films just to give us a chase film with a dinosaur that was never even seen in ""The Lost World"" and that film was set on the same island. While ""Jurassic Park 3"" just went on a painful 90 minutes long montage of talking raptors, horrible scenes of family bonding and an visible annoyed Sam Neill looking like he's about to go postal on the people working on the film set, Jurassic World manages to be a hell of a lot more enjoyable experience for the viewer in terms of just trying to inject a sense of plot and continuity to this other wise creature feature.As a standard creature feature, the movie works well and gives you your money's worth of dinosaurs doing collateral damage to property and personnel with the occasional park visitor being killed for good measure. Throw in your slack jaw good guy ( Chris Pratt) who feels that the creatures are misunderstood and works with good guy dinosaurs(I Kidd you not) to help stop the super killer dinosaur. Throw in an human adversary for our hero to fight with ( Vincent D""Onofrio) who would blow the whole island up to get this monster and add an human element like two lost children who are related to a employee at this crazy theme park who by the way has the hots for our hero and you have the entire story right there.It's hard enough to keep a franchise going, especially when you're dealing with dinosaurs walking the earth. You will eventually hit a wall in terms of storytelling if your primary goal is to keep turning these films out with out any care what so ever. We saw that with ""Jurassic Park 3"" where all the plot points from the previous two films were abandon for a B Movie creature feature. ""Jurassic World"" tries hard to correct that by having the movie be about something a little more and try to connect itself to the first film of the series. And Its much better film for it but it still ends up a creature feature all the same."
tt0369610,Worthy Sequel To One Of The Greatest Films Ever Made,,"Let's start this by stating how much of a die hard fan I am of 'Jurassic Park', I love that film, always have, always will. 'The Lost World' is a worthy followup, but at the same time lost the panache the first one had, as for the third entry, I'll overlook it because it just got too silly for my liking... anyway, on to 'Jurassic World'. First of all, the positives outweigh the negatives by far, so to start I shall begin with the flaws. 'Jurassic World' near enough scraps the use of animatronics that made the original films so realistic in comparison and instead overuses CGI, but that aside the visual effects are stunning. And the story, well, it's a little too far-fetched to say the least, but not to the point where it's completely ridiculous, just enough for you to have a laugh but still enjoy it nonetheless. Trevorrow's direction, Pratt's acting and Giacchino's score are all superb, and these combined make the film a worthy watch. The film perfectly blends drama, emotion and action, and when I say action, I mean full-on awe- inspiring action. The closing battle is just rife with intensity, to the extent that I was literally sitting on the edge of my seat in the cinema, it was perfectly choreographed (if maybe a tad predictable) but my heart was racing, I hadn't felt that excited with a film's conclusion for a long time. All-in-all, it's a well- executed and beautifully-crafted sequel, but will never outdo the original, the best 'Jurassic Park', but a second spot grab? I think so."
tt0369610,"Manages to somewhat return the Jurassic Park series to it's former glory, but its still a few notches below Spielberg's first two entries in the series.",6,"Modernized and polished entry to the Jurassic Park series picks up 22 years after the original Steven Spielberg SyFy thriller with a fully functional prehistoric amusement park that is trying to pick up their attendance numbers by splicing the DNA of their animals in order to create a new attraction to bring in more customers. With this, they manage to create a dinosaur that is much bigger that the signature T-Rex but also much more aggressive, much smarter and much more territorial as well. So of course it does not take much time for this thing to break out of it's habitat to cause death and destruction in it's wake. It's then up to park consultant Owen Grady (Chris Pratt) and company to stop this mega dinosaur from killing everyone on the island.While the set up is predictable as well as it's outcome, the movie still provides a fun two hours of distraction. The problem is however is that outside of Chris Pratt, whose playing an intelligent variation of his swagger character from "" Guardians"" No one in this movie is very interesting or likable with the slight exception of Vincent D'Onofrio, who can read a phone book and make it interesting. The script is cringe worthy in a lot of places and while technology has come very far from the original, good storytelling is far and few between. ""Jurassic World"" still does manage to offer a lot of scary moments of sheer terror and does provide some comic relief, which is a huge step up from the last movie of the series(Jurassic Park 3)but does not have the genuine spectacle and heart that drove Steven Spielberg's first two movies in the series (The original Jurassic Park and The Lost World : Jurassic Park).All and all, it's a decent ride that somewhat redeems the Jurassic Park series but they need shoot higher next time other than just be a decent follow up."
tt0369610,Very good but more a remake of the first two movies than a sequel to the series.,7,"Like it's dinosaur Frankenstein creation, Jurassic World is itself a  hybrid of sorts. A bright and vibrant opening that reminds the viewer  of the first time they saw the original Jurassic Park, with a voice  over by the late Richard Attenborough in introducing the park visitors  and the audience of the wonders of the first dinosaur amusement park.  Sort of a tribute to what the first movie was about and the realization  of it coming true. Then the mayhem begins and the viewer will remember  the words of Professor Ian Malcolm from the first sequel ""The Lost  World"": ""Oh, yeah. Oooh, ahhh, that's how it always starts. Then later  there's running and um, screaming."" That's what happens after the slow  introduction of the characters and story points of ""Jurassic World"".  What good about this film that it's a slow burn, like the first  Jurassic movie, then it kicks like a mule with the scares and adrenalin  of ""The Lost World"" when the park's new attraction starts eating the  tourist and it's fellow attractions. While having both Steven  Spielberg's original two films as inspiration is a good way to create a  Jurassic sequel, it's not original. Don't get me wrong, its very good  for what it was and Chris Pratt earns his stripes as a leading man but  takes too much from both ""Jurassic Park"" and ""The Lost World"" and just  regurgitating scenes here and there to be taken seriously as a sequel.  Plus it goes into overdrive with the scary,intelligent predator hybrid  dinosaur, which comes across more like ""Predator"" than a Jurassic Park  movie. This dinosaur hybrid kills for sport, not hunger or necessary  and that pushes the boundaries of what the Jurassic Park series was  about. Yes, they are wild animals but this film plays them up as good  guys and bad guys then the out of its time species that did not belong  into human society. With all of that out of my system, i will admit  that i did have a good time watching ""Jurassic World"" and jumped quite  a few times during a few scenes. A few inconsistencies a side, i  enjoying it as what it was. While there are obvious links to ""Jurassic  Park"" not to mention the fact that they are back to the original place  of the first film, i just did not feel like it was sequel to the  Jurassic Park series. More a reboot/remake of the first two movies but  it could have been much worse (Jurassic Park 3 anyone?).  3 Stars. Don't expect anything original but do expect to have a good  time none the less."
tt0369610,The good news: It's vast improvement over Jurassic Park 3. The bad news: it's the most predictable entry in the series,6,"Fine but predictable return to form for the Jurassic Park series finds John Hammond's dream for a ""Jurassic Park"" becoming a reality. However, in a way to have more people come back to the island, scientist's create a hybrid dinosaur as a new attraction. But, like every Jurassic Park film in the series, things don't go off as planed and all hell breaks loose in it's aftermath. Unlike the last 3 movies however, this film is made up of mostly new characters to hold off the Dinosaurs with the exception of a small side character from the Original Jurassic Park film played by BD Wong, who to be quite honest is only there to somehow fulfill continuity from The first film to the new one. It would have made more sense to bring in some of the original leads to bridge the whole series together but that seems to be asking too much. The new characters starting with lead Chris Pratt are fine but underwritten and cliché. Pratt's character and performance is really the only bright spot of the new cast of characters but he lacks the cool sarcastic wit and intelligence of Jeff Goldblum's Ian Malcolm and The everyman appeal of Sam Neill's Dr Alan Grant. Pratt however brings his own warm, comic sensibility that does make him endearing in his own right but unlike Goldblum and Neill who brought dramatic tension to the films, Pratt gets overshadowed by the dinosaurs once the bloody carnage begins. Bryce Dallas Howard is decent but unremarkable in the uptight corporate woman with no life role and Vincent D'Onofrio is OK as the resident head of security of the park. Of course, there are two kids who plays the nephews of Howard's character who are put in the middle of the action one it begins, leading to a predictable climax that while is full of thrills, could have been seen a mile a away.The Dinosaur effects in this film are probably the best in the series so far and while there are moments of Obvious CGI, it really does not distract from how far effects have come over the years from the first film to this one. In terms of dino carnage, this film comes in a little behind The Lost World in that department but not by much. The body count is higher here than in any of the other films in the series but lacks the tension and showmanship that Jurassic Park and The Lost World had in spades. It's however head shoulders above what Jurassic Park 3 had in those departments. Not to mention the fact that while the script for Jurassic World is fairly predictable, it does not overstay it's welcome. Unlike the underwritten Jurassic Park 3 with its very unlikeable characters.Jurassic World is a fine addition to the Jurassic Park series. While its pretty predicable and not as good or as tension filled as the first two films of the series, it's a vast improvement over the disappointing 3rd film. However, if there should be a fifth film, they need to go beyond the new monster of the week and come up with a better script to justify this series continuing for another film."
tt0369610,"If you're looking to sit on the edge of your seat for two hours, welcome!",10,"First of all I think people need to understand that film is a lot like music, you can't listen to a new Justin Bieber song and complain because it's not a Mozart masterpiece. And you definitely can't watch Jurassic World expecting a mind-boggling, emotional Inception type film. I would put Jurassic World in the same category as most Michael Bay films, the story line won't make you think, the characters won't go through any psychological changes but you will be thoroughly entertained by the special effects. I think it's fairly obvious throughout the original trilogy and this film that we are the visitors to the attractions, Steven Spielberg gave the parallel Earth a new unimaginable attraction, one which surprised the audience so much, it's rated as one of the best films ever. Period. Fast forward twenty two years past the films of Interstellar, Lord of the Rings and Harry Potter, we as a human race have seen a lot of original, unique things, a plain old dinosaur film will not bring us the same thrills as it did in 1993. Therefore we are once again, the visitors to the attraction. We will never feel the same buzz as first seeing that T-Rex crashing the gates over, or the same chill down the neck when first hearing that Raptor shriek. However, we can still be entertained. Which is what happens throughout the film. The characters are fairly bland, there are only a couple likable ones, but they all seem to grow on you near the end, the bloodbath that is left by the new Dino is quite emotional and gives you a side to pick fairly easily, the surprises throughout the film keep it exciting and the special effects, well we are in 2015 and they did have a lot of money to spend so lets just say they are incredible as expected. If you're looking to be on the edge of your seat for two hours and trust the film to not bore you, then you have nothing to worry about, the line graph representing excitement just climbs up and up, if you're expecting another Shawshank Redemption, well please don't slate the film when it doesn't satisfy your needs. I think that films should have two ratings, one for overall, and another for it's main sub-category, for example as an overall film I'd give it a 7.5-8, it's sub-category of excitement I'd give a solid 10, a comparison to the first Transformers which I'd give an 8 for excitement and a 5 overall. Therefore I really do recommend this film for anyone who like me, enjoys special effects, good excitement and two hours to just sit on the edge of my seat and thoroughly enjoy my time. I can only say I can't wait for the second one and I'm sure you will too after you watch it."
tt0369610,"Smart Dinosaur, Dumb Writers",6,"Overall, this wasn't a dull film. It was full of action and very absorbing. It just wasn't a very intelligent film. The writers took shortcuts to move the plot in the direction they wanted, and most of the characters fluctuate from utter moron to complete genius throughout the film.The acting was relatively dull, with the exception of Chris Pratt who played a character he's played over and over again. Most everyone else was uttering cringe-worthy dialogue throughout the film.The story is cliché, uninteresting, and full of moronic plot holes. The idea to turn the raptors into tamable teddy-bear creatures was a terrible decision that turned potentially horrific moments into a waste of time. Couple that with a worse deus ex machina moment than the first film, and you have a veritable mess on your hands.The most damning part of this film was the fact that the writers spent 14 years developing a story with a dinosaur written to be smarter than the writers themselves. Indominus possesses all the wit and clever thinking that could have been used to write a terrific screenplay. Next time, write a smarter story with a dumber dinosaur."
tt0369610,The Nostalgia is real,10,"Jurassic world is the #1 movie in America. This movie deserves the right to be called back especially with all the money it earned especially in the first week it was out. It's been 14 years since the last time I saw Jurassic Park. I never would have thought that they would be making a Fourth one and when I heard they were making a new one I was ecstatic. It brought back all the memories of the first 3 films. When the day came for Jurassic World to open it had to go see it on opening day and I did. The movie gave us the same feeling Jurassic Park 1 did ""Welcome to Jurassic World"". The new park looked amazing showing that John Hammond'so dream finally came true. The music was more amazing than ever, the original Jurassic Park theme was re-prised to show how much thing had changed in 14 years. The main attraction of this movie was the Indominus Rex and hybrid of T-Rex, Raptor, cuddle fish, and Tree frog and terrifying intelligence. At the end of the movie we get to see the original T-Rex from the first movie roar for the last time after the park was closed for good. This movie brought back so many memories for so many people. I can't wait for the next one."
